period,value
2001-04-13,48130
2001-04-20,47799
2001-04-27,49909
2001-05-04,48735
2001-05-11,50536
2001-05-18,50457
2001-05-25,50255
2001-06-01,51864
2001-06-08,53229
2001-06-15,52708
2001-06-22,52965
2001-06-29,52544
2001-07-06,51660
2001-07-13,50305
2001-07-20,47715
2001-07-27,47159
2001-08-03,46424
2001-08-10,45186
2001-08-17,43201
2001-08-24,40866
2001-08-31,43320
2001-09-07,44404
2001-09-14,45366
2001-09-21,45772
2001-09-28,46751
2001-10-05,47157
2001-10-12,47875
2001-10-19,47366
2001-10-26,47167
2001-11-02,45172
2001-11-09,45048
2001-11-16,45856
2001-11-23,48217
2001-11-30,50107
2001-12-07,49777
2001-12-14,49628
2001-12-21,49170
2001-12-28,50234
2002-01-04,48182
2002-01-11,49221
2002-01-18,49840
2002-01-25,50693
2002-02-01,50391
2002-02-08,49804
2002-02-15,50734
2002-02-22,53070
2002-03-01,51841
2002-03-08,51008
2002-03-15,51478
2002-03-22,51000
2002-03-29,52433
2002-04-05,54419
2002-04-12,53349
2002-04-19,50869
2002-04-26,49495
2002-05-03,48193
2002-05-10,49358
2002-05-17,48657
2002-05-24,48966
2002-05-31,47124
2002-06-07,48688
2002-06-14,49090
2002-06-21,48948
2002-06-28,48749
2002-07-05,49089
2002-07-12,47854
2002-07-19,46579
2002-07-26,46740
2002-08-02,49087
2002-08-09,46870
2002-08-16,46455
2002-08-23,45235
2002-08-30,46599
2002-09-06,45156
2002-09-13,47321
2002-09-20,48299
2002-09-27,47925
2002-10-04,46939
2002-10-11,46908
2002-10-18,45332
2002-10-25,45824
2002-11-01,45369
2002-11-08,45748
2002-11-15,44403
2002-11-22,44803
2002-11-29,48040
2002-12-06,48235
2002-12-13,48214
2002-12-20,47622
2002-12-27,47730
2003-01-03,47950
2003-01-10,49707
2003-01-17,51701
2003-01-24,52074
2003-01-31,53901
2003-02-07,53935
2003-02-14,53447
2003-02-21,54278
2003-02-28,52843
2003-03-07,53720
2003-03-14,53993
2003-03-21,54099
2003-03-28,55344
2003-04-04,55888
2003-04-11,57276
2003-04-18,55344
2003-04-25,55717
2003-05-02,57061
2003-05-09,56500
2003-05-16,56065
2003-05-23,54621
2003-05-30,54114
2003-06-06,53431
2003-06-13,53182
2003-06-20,52879
2003-06-27,52876
2003-07-04,54322
2003-07-11,54229
2003-07-18,53317
2003-07-25,53458
2003-08-01,52367
2003-08-08,51581
2003-08-15,50044
2003-08-22,48666
2003-08-29,48961
2003-09-05,48327
2003-09-12,50556
2003-09-19,52171
2003-09-26,51171
2003-10-03,51865
2003-10-10,50964
2003-10-17,50603
2003-10-24,49979
2003-10-31,50640
2003-11-07,52037
2003-11-14,53364
2003-11-21,52536
2003-11-28,54187
2003-12-05,55209
2003-12-12,56127
2003-12-19,57546
2003-12-26,56723
2004-01-02,58110
2004-01-09,59790
2004-01-16,60685
2004-01-23,59527
2004-01-30,59922
2004-02-06,59491
2004-02-13,61393
2004-02-20,60557
2004-02-27,61246
2004-03-05,62151
2004-03-12,63084
2004-03-19,62443
2004-03-26,61977
2004-04-02,61712
2004-04-09,13415
2004-04-09,13294
2004-04-09,16546
2004-04-09,62999
2004-04-16,62601
2004-04-16,13781
2004-04-16,15767
2004-04-16,13594
2004-04-23,13882
2004-04-23,18269
2004-04-23,64795
2004-04-23,13487
2004-04-30,16489
2004-04-30,17316
2004-04-30,68510
2004-04-30,14206
2004-05-07,15914
2004-05-07,14780
2004-05-07,17315
2004-05-07,66176
2004-05-14,13583
2004-05-14,15966
2004-05-14,17857
2004-05-14,66003
2004-05-21,13258
2004-05-21,18522
2004-05-21,64924
2004-05-21,14229
2004-05-28,18271
2004-05-28,66271
2004-05-28,14363
2004-05-28,14751
2004-06-04,13636
2004-06-04,67292
2004-06-04,14950
2004-06-04,19044
2004-06-11,14038
2004-06-11,68260
2004-06-11,15240
2004-06-11,19068
2004-06-18,17987
2004-06-18,68079
2004-06-18,15399
2004-06-18,15010
2004-06-25,15823
2004-06-25,67910
2004-06-25,14080
2004-06-25,18753
2004-07-02,14102
2004-07-02,20938
2004-07-02,14684
2004-07-02,69635
2004-07-09,14923
2004-07-09,15557
2004-07-09,19751
2004-07-09,69347
2004-07-16,16318
2004-07-16,19741
2004-07-16,14287
2004-07-16,69602
2004-07-23,19498
2004-07-23,15839
2004-07-23,14374
2004-07-23,69441
2004-07-30,15850
2004-07-30,71021
2004-07-30,13982
2004-07-30,20197
2004-08-06,16054
2004-08-06,13629
2004-08-06,19900
2004-08-06,71985
2004-08-13,19562
2004-08-13,70932
2004-08-13,14425
2004-08-13,15589
2004-08-20,13779
2004-08-20,15641
2004-08-20,71668
2004-08-20,20304
